# Postprocessed results of turbulent pipe flow 
# Mean velocity and pressure 
# ------------------------------------------------------------------
# uTau = 0.0216397 
# nu = 4.16667e-06 
# ------------------------------------------------------------------
# r	 1-r	 y+	 Ur	 Ut	 Uz	 dUz/dy	 P	 
# ------------------------------------------------------------------
1	0	0	6.91867006059266e-39	-1.28911901360168e-38	0	-1.00002516472259	-2.81150018229568e-17
0.999968221525049	3.17784749509498e-05	0.165035351048128	-1.76982019264072e-23	-0.000116211096930339	0.165035351048128	-0.999974835277409	-1.66880156608583e-07
0.999934245639518	6.57543604819511e-05	0.341482528089651	2.66088821917769e-23	-0.000240460046789346	0.341473340568151	-0.999893226241757	-2.48261867574418e-06
0.999898072781487	0.000101927218512987	0.529339256040900	-7.29082378506285e-23	-0.000372738883444257	0.529299069283188	-0.999721530708154	-1.30541433211583e-05
0.999859703357525	0.000140296642474946	0.728603423463985	-7.09923453435722e-23	-0.000513030779566337	0.728483767631662	-0.999389347182147	-4.33122986862384e-05
0.999819137742687	0.000180862257312953	0.939273082584095	3.03873467748373e-22	-0.000661305330760842	0.938977598002779	-0.998803830872179	-0.000110958635938829
0.999776376280516	0.000223623719484034	1.16134644927738	-5.92022376078418e-22	-0.000817512623355521	1.16070069037488	-0.997847711605403	-0.000240606986448998
0.999731419283040	0.000268580716960010	1.39482190308596	-3.97260394133802e-22	-0.000981576106409337	1.39353249710558	-0.996378656096230	-0.000464074107101935
0.999684267030770	0.000315732969230043	1.63969798723115	-2.46784176414520e-22	-0.00115338442169963	1.63729975912032	-0.994230436008970	-0.000820298120499331
0.999634919772705	0.000365080227294978	1.89597340858412	6.14839546375073e-21	-0.00133278249996466	1.89176361427967	-0.991216257961185	-0.00135489459138447
0.999583377726330	0.000416622273670009	2.16364703767964	-8.11795283197236e-23	-0.00151956239038724	2.15660661293557	-0.987134400482126	-0.00211938833921135
0.999529641077619	0.000470358922381009	2.44271790869716	9.26665375554636e-21	-0.00171345443222437	2.43142059241402	-0.981776022380986	-0.00317018218765167
0.999473709981038	0.000526290018961984	2.73318521944745	1.16442283352969e-20	-0.00191411948018525	2.71569646243637	-0.974934710706325	-0.00456733882585197
0.999415584559547	0.000584415440452957	3.03504833136172	1.07546978249162e-21	-0.00212114293456481	3.00881694026817	-0.966417082230883	-0.00637325808958426
0.999355264904604	0.000644735095395976	3.34830676947080	4.65060137270283e-21	-0.00233403128430522	3.31005314024242	-0.956053586246450	-0.00865132967639334
0.999292751076169	0.000707248923831005	3.67296022238388	-8.11774087497958e-21	-0.00255221173908287	3.61856567938361	-0.943708602799740	-0.0114646317109215
0.999228043102712	0.000771956897288040	4.00900854224749	8.48961941920140e-21	-0.00277503531285046	3.93341063738000	-0.929288990849750	-0.0148747307432915
0.999161140981214	0.000838859018785998	4.35645174473981	-4.48193659552157e-21	-0.00300178344648105	4.25355034380367	-0.912750398433748	-0.0189406210178626
0.999092044677178	0.000907955322821952	4.71529000901470	1.78446592408295e-21	-0.00323167795417198	4.57786860021145	-0.894100873200359	-0.0237178224865279
0.999020754124632	0.000979245875368018	5.08552367768556	6.70727306504847e-21	-0.00346389379382903	4.90518961979954	-0.873401572213820	-0.0292576401468659
0.998947269226139	0.00105273077386103	5.46715325677171	3.79000299186688e-20	-0.00369757394543492	5.23429971400896	-0.850764630223765	-0.0356065734969739
0.998871589852806	0.00112841014719400	5.86017941565401	-1.31688879752078e-20	-0.00393184556864986	5.56397059526400	-0.826348475743367	-0.0428058553248523
0.998793715844290	0.00120628415571000	6.26460298704313	6.10944836628661e-21	-0.00416583660695411	5.89298310564433	-0.800351062658201	-0.0508910941843199
0.998713647008811	0.00128635299118895	6.68042496691095	-4.10603086843273e-21	-0.00439869208547666	6.22015021918345	-0.773001599867101	-0.0598919946190501
0.998631383123159	0.00136861687684098	7.10764651445595	1.13617426528736e-20	-0.00462958946554484	6.54433828736098	-0.744551410288396	-0.0698321327724941
0.998546923932707	0.00145307606729295	7.54626895203345	1.29849093052821e-20	-0.00485775252144986	6.86448568274623	-0.715264538976907	-0.0807287713206301
0.998460269151423	0.00153973084857695	7.99629376509568	-9.96727759591407e-21	-0.00508246327749887	7.17961822160988	-0.685408669059389	-0.0925927053527101
0.998371418461881	0.00162858153811896	8.45772260213292	1.69790268814098e-20	-0.00530307162183888	7.48886098851408	-0.655246807742964	-0.105428138551114
0.998280371515274	0.00171962848472595	8.93055727460662	1.68632983632308e-21	-0.00551900235469259	7.79144642298695	-0.625030087516112	-0.119232595646932
0.998187127931427	0.00181287206857295	9.41479975688200	-1.64474387429611e-20	-0.00572975963393969	8.08671874260691	-0.594991903672432	-0.133996881843779
0.998091687298815	0.00190831270118497	9.91045218613457	-5.79269983594459e-20	-0.00593492895690804	8.37413495531834	-0.565343490310240	-0.149705102273849
0.997994049174570	0.00200595082542998	10.4175168623133	2.51457298217728e-20	-0.00613417685198050	8.65326284924609	-0.536270932092541	-0.166334754541372
0.997894213084508	0.00210578691549201	10.9359962480010	2.75688221657705e-20	-0.00632724836842807	8.92377643801476	-0.507933524125681	-0.183856905285066
0.997792178523134	0.00220782147686605	11.4658929683879	-4.86928800023253e-20	-0.00651396243533696	9.18544938597848	-0.480463329805055	-0.202236457936860
0.997687944953665	0.00231205504633503	12.0072098111522	2.65531242553054e-20	-0.00669420537707969	9.43814694485380	-0.453965746492504	-0.221432513966320
0.997581511808046	0.00241848819195400	12.5599497263777	4.88615977687549e-20	-0.00686792326587575	9.68181690882308	-0.428520869664778	-0.241398824532867
